,unit_gdp,metroreg,TIME_PERIOD,gdp,sex,population,gdp_norm,iccs,nCrimes_norm,unemp_norm_F,unemp_norm_M,MvsNM,country,iccs_code,iccs_name
0,EUR_HAB:Euro per inhabitant,AT:Austria,2014,39000.0,T:Total,8507786,331803654.0,ICCS0101:Intentional homicide,4.701575709591191e-06,0.025319090617301025,0.032416127781632255,WC,AT,ICCS0101,Intentional homicide
1,EUR_HAB:Euro per inhabitant,AT:Austria,2014,39000.0,T:Total,8507786,331803654.0,ICCS0401:Robbery,0.0004091546261271734,0.025319090617301025,0.032416127781632255,WC,AT,ICCS0401,Robbery
2,EUR_HAB:Euro per inhabitant,AT:Austria,2014,39000.0,T:Total,8507786,331803654.0,ICCS05012:Burglary of private residential premises,0.0019919400887610478,0.025319090617301025,0.032416127781632255,WC,AT,ICCS05012,Burglary of private residential premises
3,EUR_HAB:Euro per inhabitant,AT:Austria,2014,39000.0,T:Total,8507786,331803654.0,ICCS050211:Theft of a motorized land vehicle,0.00012482683508964612,0.025319090617301025,0.032416127781632255,WC,AT,ICCS050211,Theft of a motorized land vehicle
4,"PPS_EU27_2020_HAB:Purchasing power standard (PPS, EU27 from 2020), per inhabitant",AT:Austria,2014,35000.0,T:Total,8507786,297772510.0,ICCS0101:Intentional homicide,4.701575709591191e-06,0.025319090617301025,0.032416127781632255,WC,AT,ICCS0101,Intentional homicide
5,"PPS_EU27_2020_HAB:Purchasing power standard (PPS, EU27 from 2020), per inhabitant",AT:Austria,2014,35000.0,T:Total,8507786,297772510.0,ICCS0401:Robbery,0.0004091546261271734,0.025319090617301025,0.032416127781632255,WC,AT,ICCS0401,Robbery
6,"PPS_EU27_2020_HAB:Purchasing power standard (PPS, EU27 from 2020), per inhabitant",AT:Austria,2014,35000.0,T:Total,8507786,297772510.0,ICCS05012:Burglary of private residential premises,0.0019919400887610478,0.025319090617301025,0.032416127781632255,WC,AT,ICCS05012,Burglary of private residential premises
7,"PPS_EU27_2020_HAB:Purchasing power standard (PPS, EU27 from 2020), per inhabitant",AT:Austria,2014,35000.0,T:Total,8507786,297772510.0,ICCS050211:Theft of a motorized land vehicle,0.00012482683508964612,0.025319090617301025,0.032416127781632255,WC,AT,ICCS050211,Theft of a motorized land vehicle
8,EUR_HAB:Euro per inhabitant,AT:Austria,2015,39900.0,T:Total,8584926,342538547.4,ICCS0101:Intentional homicide,4.8922961013292365e-06,0.024996983712503668,0.033853942853496945,WC,AT,ICCS0101,Intentional homicide
9,EUR_HAB:Euro per inhabitant,AT:Austria,2015,39900.0,T:Total,8584926,342538547.4,ICCS0401:Robbery,0.0003979067495747779,0.024996983712503668,0.033853942853496945,WC,AT,ICCS0401,Robbery
10,EUR_HAB:Euro per inhabitant,AT:Austria,2015,39900.0,T:Total,8584926,342538547.4,ICCS05012:Burglary of private residential premises,0.0017906968563270085,0.024996983712503668,0.033853942853496945,WC,AT,ICCS05012,Burglary of private residential premises
11,EUR_HAB:Euro per inhabitant,AT:Austria,2015,39900.0,T:Total,8584926,342538547.4,ICCS050211:Theft of a motorized land vehicle,0.00019604129377469298,0.024996983712503668,0.033853942853496945,WC,AT,ICCS050211,Theft of a motorized land vehicle
12,"PPS_EU27_2020_HAB:Purchasing power standard (PPS, EU27 from 2020), per inhabitant",AT:Austria,2015,35900.0,T:Total,8584926,308198843.4,ICCS0101:Intentional homicide,4.8922961013292365e-06,0.024996983712503668,0.033853942853496945,WC,AT,ICCS0101,Intentional homicide
13,"PPS_EU27_2020_HAB:Purchasing power standard (PPS, EU27 from 2020), per inhabitant",AT:Austria,2015,35900.0,T:Total,8584926,308198843.4,ICCS0401:Robbery,0.0003979067495747779,0.024996983712503668,0.033853942853496945,WC,AT,ICCS0401,Robbery
